XP,LOC,refseq_desc
XP_020892320.1,LOC110231633,"programmed_cell_death_6-interacting_protein,_partial"
XP_020893385.1,LOC110232512,guanine_nucleotide-binding_protein_G(i)_subunit_alpha-2
XP_020893570.1,LOC110232698,beta-glucuronidase
XP_020894371.1,LOC110233421,gamma-aminobutyric_acid_receptor-associated_protein-like_2
XP_020895190.1,LOC110234173,ras-related_GTP-binding_protein_A
XP_020896753.1,LOC110235621,proline-rich_protein_HaeIII_subfamily_1
XP_020896832.1,LOC110235693,NPC_intracellular_cholesterol_transporter_2_homolog_a
XP_020896833.1,LOC110235694,NPC_intracellular_cholesterol_transporter_2_homolog_a-like
XP_020897048.1,LOC110235915,alpha-L-fucosidase
XP_020897550.1,LOC110236375,di-N-acetylchitobiase
XP_020898172.1,LOC110236948,cathepsin_Z
XP_020898889.1,LOC110237627,methanethiol_oxidase
XP_020900479.1,LOC110239115,general_vesicular_transport_factor_p115
XP_020900724.1,LOC110239351,ras-related_protein_Rab-38
XP_020901384.2,LOC110239960,gamma-glutamyl_hydrolase
XP_020903619.1,LOC110242025,thymus-specific_serine_protease
XP_020904155.1,LOC110242498,sorting_nexin-6
XP_020904698.1,LOC110242988,cathepsin_L1
XP_020904702.1,LOC110242992,cathepsin_L1
XP_020904932.1,LOC110243193,alpha-N-acetylgalactosaminidase
XP_020906296.2,LOC110244430,"arylsulfatase_B,_partial"
XP_020909293.1,LOC110247226,transforming_growth_factor-beta-induced_protein_ig-h3
XP_020909636.1,LOC110247534,AP-1_complex_subunit_beta-1
XP_020909772.1,LOC110247661,gastric_triacylglycerol_lipase
XP_020910716.1,LOC110248522,clathrin_light_chain
XP_020910868.1,LOC110248664,UPF0505_protein_C16orf62_homolog
XP_020911020.1,LOC110248799,engulfment_and_cell_motility_protein_1
XP_020911134.1,LOC110248908,ragulator_complex_protein_LAMTOR2
XP_020912709.1,LOC110250454,"retinoid-inducible_serine_carboxypeptidase,_partial"
XP_020913007.1,LOC110250729,cystatin-like
XP_020913027.1,LOC110250747,lysosomal_alpha-mannosidase
XP_020913283.1,LOC110250928,synaptobrevin_homolog_YKT6
XP_020913409.1,LOC110251082,transport_and_Golgi_organization_protein_1_homolog_isoform_X1
XP_020913463.1,LOC110251138,V-type_proton_ATPase_catalytic_subunit_A
XP_020915332.1,LOC110252826,cathepsin_B
XP_020916222.1,LOC110253589,N-acylethanolamine-hydrolyzing_acid_amidase
XP_020917255.1,LOC110254588,coiled-coil_domain-containing_protein_93
XP_020917326.1,LOC110254654,ADP-ribosylation_factor_1-like_2_isoform_X1
XP_028512723.1,LOC114574417,ras-related_protein_Rab-14
XP_028512998.1,LOC110232728,beta-glucuronidase
XP_028514092.1,LOC114574781,LOW_QUALITY_PROTEIN:_beta-hexosaminidase_subunit_alpha-like
XP_028514094.1,LOC110236420,beta-hexosaminidase_subunit_beta-like
XP_028514246.1,LOC110236973,cathepsin_Z
XP_028516850.1,LOC110245703,alpha-L-fucosidase_isoform_X1
XP_028518148.1,LOC110249593,vegetative_cell_wall_protein_gp1
XP_028518705.1,LOC110251299,tumor_protein_p63-regulated_gene_1-like_protein_isoform_X1
XP_028519191.1,LOC110253174,"arylsulfatase_B,_partial"
XP_028519499.1,LOC110254094,putative_phospholipase_B-like_2
XP_028519500.1,LOC110254061,putative_phospholipase_B-like_2
