ID,Master.Protein.Accessions,LOC,pepSize,XM,geneID,gene_coords,Marker,Refseq_Description,HumanGene,signalP,Pfam,KEGG,Panther,Expal_4.5.PCA.Dim.1,Expal_4.5.PCA.Dim.2,Expal_4.5.PCA.Dim.3,Expal_4.5.PCA.Dim.4,Expal_4.5.PCA.Dim.5,Expal_4.5.PCA.Dim.6,Expal_4.5.tSNE.Dim.1,Expal_4.5.tSNE.Dim.2,Expal_4.5.umap.Dim.1,Expal_4.5.umap.Dim.2
Host,XP_020916995.1,LOC110254356,434,XM_021061336.2,110254356,NW_018388391.1:473863-477370,19S proteasome,26S_proteasome_regulatory_subunit_7,PRS7,-,PRS7_OB_(89-155);AAA_(213-346);AAA_lid_3_(368-411),"K03061:PSMC2,_RPT1;_26S_proteasome_regulatory_subunit_T1",PTHR23073:SF138::AAA_DOMAIN-CONTAINING_PROTEIN,-4.60713154,0.344069124,-0.683372712,-0.931287583,-0.212136254,-0.617891076,111.5745796,45.25514317,4.588571335,-9.732094939
Host,XP_020916416.1,LOC110253805,455,XM_021060757.2,110253805,NW_018388325.1:154674-159513,19S proteasome,26S_proteasome_non-ATPase_regulatory_subunit_12,PSD12,-,PSMD12-CSN4_N_(42-259);PCI_(342-413);RPN5_C_(419-451),"K03035:PSMD12,_RPN5;_26S_proteasome_regulatory_subunit_N5",PTHR10855:SF1::26S_PROTEASOME_NON-ATPASE_REGULATORY_SUBUNIT_12,-3.958132616,1.864454649,-1.447134149,-2.489753021,0.544738271,-0.614254916,113.7507566,44.58035705,4.381240633,-9.815273276
Host,XP_020906576.1,LOC110244703,389,XM_021050917.1,110244703,NW_018384278.1:247808-250975,19S proteasome,26S_proteasome_non-ATPase_regulatory_subunit_6,PSMD6,-,RPN7_(66-239);PCI_(276-357);RPN7_PSMD6_C_(365-387),"K03037:PSMD6,_RPN7;_26S_proteasome_regulatory_subunit_N7",PTHR14145:SF1::26S_PROTEASOME_NON-ATPASE_REGULATORY_SUBUNIT_6,-4.828536648,1.045900365,-2.913261511,-3.613614988,-0.280959858,0.243453916,115.7163024,43.80244395,4.290268878,-9.756192479
Host,XP_020904223.1,LOC110242556,428,XM_021048564.2,110242556,NW_018386220.1:79344-85760,19S proteasome,26S_proteasome_regulatory_subunit_6A-B,PRS6A,-,Prot_ATP_ID_OB_C_(104-154);AAA_5_(211-331);AAA_(212-344);nSTAND3_(212-358);AAA_lid_3_(367-409),"K03065:PSMC3,_RPT5;_26S_proteasome_regulatory_subunit_T5",PTHR23073:SF90::26S_PROTEASOME_REGULATORY_SUBUNIT_6A,-4.205488281,0.967843004,-1.492272737,-2.332009831,-0.23381066,-0.28105045,112.8855612,45.07893923,4.419394287,-9.859211561
Host,XP_020903780.1,LOC110242166,496,XM_021048121.2,110242166,NW_018386126.1:84844-95588,19S proteasome,26S_proteasome_non-ATPase_regulatory_subunit_3,PSMD3,-,PCI_(343-424);Rpn3_C_(428-494),"K03033:PSMD3,_RPN3;_26S_proteasome_regulatory_subunit_N3",PTHR10758:SF2::26S_PROTEASOME_NON-ATPASE_REGULATORY_SUBUNIT_3,-5.169736571,2.4350334,-2.190053431,-2.978407621,1.216191918,-0.98063364,114.6963795,44.33358315,4.390490988,-9.810466586
Host,XP_020895180.1,LOC110234166,1019,XM_021039521.2,110234166,NW_018384887.1:286056-294188,19S proteasome,26S_proteasome_non-ATPase_regulatory_subunit_1,PSMD1,-,RPN2_N_(6-275);PC_rep_(416-443);PC_rep_(454-486);PC_rep_(489-521);PC_rep_(524-557);HEAT_2_(613-703);PC_rep_(664-698);RPN2_C_(799-902);RPN2_C_(894-989),"K03032:PSMD1,_RPN2;_26S_proteasome_regulatory_subunit_N2",PTHR10943:SF2::26S_PROTEASOME_NON-ATPASE_REGULATORY_SUBUNIT_1,-3.860899522,0.916815338,-1.714167052,-3.556861926,-0.678047212,0.409052428,113.8214215,42.88194827,4.355944595,-9.764036756
Host,XP_020895125.2,LOC110234103,429,XM_021039466.2,110234103,NW_018384872.1:222990-233391,19S proteasome,LOW_QUALITY_PROTEIN:_26S_proteasome_non-ATPase_regulatory_subunit_11A-like,PSD11,-,RPN6_N_(20-137);PCI_(313-395);RPN6_C_helix_(400-426),"K03036:PSMD11,_RPN6;_26S_proteasome_regulatory_subunit_N6",PTHR10678:SF6::26S_PROTEASOME_NON-ATPASE_REGULATORY_SUBUNIT_11A,-4.499077061,0.341595673,-1.67989524,-1.895189624,-0.171562293,-0.508161835,112.4417063,44.81367961,4.407962565,-9.807085958
Host,XP_020893067.1,LOC110232252,330,XM_021037408.2,110232252,NW_018384631.1:48951-51081,19S proteasome,26S_proteasome_non-ATPase_regulatory_subunit_7,PSMD7,-,JAB_(8-119);MitMem_reg_(168-279),"K03038:PSMD7,_RPN8;_26S_proteasome_regulatory_subunit_N8",PTHR10540:SF7::26S_PROTEASOME_NON-ATPASE_REGULATORY_SUBUNIT_7,-4.772856329,0.423390532,-1.831731696,-2.613945985,-0.514523561,-0.149930653,112.9039681,44.19134519,4.35467196,-9.859988499
Host,XP_028518345.1,LOC110250308,203,XM_028662544.1,110250308,NW_018388025.1:341553-345372,20S proteasome,proteasome_subunit_beta_type-1-A,PSB1,-,Proteasome_(23-145),K02732:PSMB1;_20S_proteasome_subunit_beta_6_[EC:3.4.25.1],PTHR11599:SF59::PROTEASOME_SUBUNIT_BETA_TYPE-1,-4.881668731,-0.186814254,-3.561818923,-3.656793248,-1.541212945,-0.919930024,119.0947772,48.22282244,4.075243909,-10.01411708
Host,XP_020916474.1,LOC110253863,259,XM_021060815.1,110253863,NW_018388325.1:399579-402308,20S proteasome,proteasome_subunit_beta_type-4,PSB4,-,Proteasome_(49-235),K02736:PSMB4;_20S_proteasome_subunit_beta_7_[EC:3.4.25.1],PTHR11599:SF5::PROTEASOME_SUBUNIT_BETA_TYPE-4,-4.960504202,0.04985009,-3.293172499,-3.778660406,-2.114756816,-0.116263388,119.8152092,47.91190742,4.12151373,-9.955266685
