Master.Protein.Accessions,Exp,Name,Details,Biological Process (InterPro),Molecular Function (InterPro),Cellular Component (InterPro),Biological Process (PANTHER),Molecular Function (PANTHER),Cellular Component (PANTHER)
XP_020894528.1,Both,Uncharacterized protein LOC110233576,,,,,,,
XP_020896062.1,Both,Palmitoyl protein thioesterase PPT1,Proteolysis,,palmitoyl hydrolase activity (GO:0098599),,receptor-mediated endocytosis (GO:0006898); protein depalmitoylation (GO:0002084),palmitoyl-(protein) hydrolase activity (GO:0008474); thiolester hydrolase activity (GO:0016790),intracellular membrane-bounded organelle (GO:0043231); lysosome (GO:0005764)
XP_020898541.2,Both,Mitochondrial antiviral-signaling domain-containing protein / hemicentin-1,Antiviral immunity / immunoglobulin,,,,,,
XP_020900752.1,Both,Fatty-acid amide hydrolase 2,Fatty acid / lipid metabolism,,,,,,endomembrane system (GO:0012505)
XP_020901765.2,Both,Prosaposin,Activator of sphingolipid degradation,sphingolipid metabolic process (GO:0006665); lipid metabolic process (GO:0006629),,lysosome (GO:0005764),,,
XP_020901772.1,Both,Prosaposin,Activator of sphingolipid degradation,sphingolipid metabolic process (GO:0006665); lipid metabolic process (GO:0006629),,lysosome (GO:0005764),,,
XP_020902369.1,Both,NPC intracellular cholesterol transporter 2,Sterol / lipid transport (immunoglobulin-like domain),sterol transport (GO:0015918),sterol binding (GO:0032934),,sterol transport (GO:0015918),sterol binding (GO:0032934),
XP_020902741.1,Both,Acyloxyacyl hydrolase,Lipase / immune signalling (interacts with saposin),"hydrolase activity, acting on ester bonds (GO:0016788); acyloxyacyl hydrolase activity (GO:0050528)",,,negative regulation of inflammatory response (GO:0050728); lipopolysaccharide catabolic process (GO:0009104),calcium ion binding (GO:0005509); acyloxyacyl hydrolase activity (GO:0050528),
XP_020905232.1,Both,Lysosome membrane protein 2,"CD36/scavenger receptor class B member 1, cholesterol and lipid binding / macrophage",,,membrane (GO:0016020),,scavenger receptor activity (GO:0005044),cytoplasm (GO:0005737)
XP_020906880.1,Both,Progranulin,Regulation of inflammation / immunity (activated via cathepsins),,,,,,extracellular region (GO:0005576)
XP_020907710.1,Both,Coiled-coil domain-containing protein 167,,,,,,,
XP_020908270.1,Both,Lysosomal thioesterase PPT2-A,Proteolysis,,thiolester hydrolase activity (GO:0016790),intracellular membrane-bounded organelle (GO:0043231); lysosome (GO:0005764),,,
XP_020909539.1,Both,"Retrotransposon, Pao",Proteolysis / retrotransposon,proteolysis (GO:0006508),aspartic-type endopeptidase activity (GO:0004190),,,,
XP_020913675.1,Both,Glucose transporter GLUT ,Nutrient transport,transmembrane transport (GO:0055085),transmembrane transporter activity (GO:0022857),membrane (GO:0016020),monosaccharide transmembrane transport (GO:0015749),hexose transmembrane transporter activity (GO:0015149),membrane (GO:0016020)
XP_020914232.1,Both,Alpha-ketoglutarate-dependent hydroxylase,Fatty acid / amino acid metabolism,,oxidoreductase activity (GO:0016491),,,,
XP_020915144.1,Both,Asparaginyl endopeptidase / legumain,Vacuolar proteolysis / GPI anchor,proteolysis (GO:0006508); proteolysis involved in protein catabolic process (GO:0051603),peptidase activity (GO:0008233); cysteine-type endopeptidase activity (GO:0004197),,proteolysis involved in protein catabolic process (GO:0051603); vacuolar protein processing (GO:0006624),cysteine-type endopeptidase activity (GO:0004197),
XP_020915521.1,Both,Lysosomal Pro-X caboxypeptidase / peptidase S28,Proteolysis,proteolysis (GO:0006508),serine-type exopeptidase activity (GO:0070008),,,dipeptidyl-peptidase activity (GO:0008239),
XP_028514237.1,Both,Ankyrin repeat and protein kinase domain-containing protein,Proteolysis (ubiquitination),,protein binding (GO:0005515,,,,
